Dow Jones Industrial Avg. - Weekly
Date,Open,High,Low,Close,Adj Close,Volume
9/28/2008,11139.62012,11139.94043,10310.25,10325.37988,10325.37988,1657400000
9/21/2008,11394.41992,11394.58008,10753.57031,11143.12988,11143.12988,1052410000
9/14/2008,11416.37012,11483.04981,10459.44043,11388.44043,11388.44043,2534100000
9/7/2008,11224.87012,11577.5,11098.66992,11421.99023,11421.99023,1231270000
8/31/2008,11545.62988,11790.16992,11037.84961,11220.95996,11220.95996,778840000
8/24/2008,11626.19043,11715.17969,11340.41016,11543.95996,11543.95996,705050000
8/17/2008,11659.65039,11690.42969,11290.58008,11628.05957,11628.05957,741560000
8/10/2008,11729.66992,11867.11035,11450.88965,11659.90039,11659.90039,914160000
8/3/2008,11326.32031,11759.95996,11221.53027,11734.32031,11734.32031,1027740000
7/27/2008,11369.46973,11586.62012,11125.12988,11326.32031,11326.32031,1022900000
7/20/2008,11495.01953,11698.16992,11325.09961,11370.69043,11370.69043,1183120000
7/13/2008,11103.63965,11510.82031,10827.70996,11496.57031,11496.57031,1558210000
7/6/2008,11289.19043,11418.24023,10977.67969,11100.54004,11100.54004,1269860000
6/29/2008,11345.7002,11437.29981,11157.20996,11288.54004,11288.54004,989400000
6/22/2008,11843.83008,11986.95996,11297.99023,11346.50977,11346.50977,1285100000
6/15/2008,12306.86035,12322.82031,11818.83008,11842.69043,11842.69043,1270350000
6/8/2008,12210.12988,12369.23047,12076.92969,12307.34961,12307.34961,1263170000
6/1/2008,12637.66992,12638.08008,12192.05957,12209.80957,12209.80957,1209120000
5/25/2008,12479.62988,12726.66016,12442.58984,12638.32031,12638.32031,831860000
5/18/2008,12985.41016,13136.69043,12460.08984,12479.62988,12479.62988,1131370000
5/11/2008,12745.54981,13001.94043,12740.5,12986.79981,12986.79981,1108680000
5/4/2008,13056.57031,13058.4502,12715.01953,12745.87988,12745.87988,1007990000
4/27/2008,12890.75977,13132.45996,12793.09961,13058.2002,13058.2002,1146280000
4/20/2008,12850.91016,12942.25977,12656.55957,12891.86035,12891.86035,1142150000
4/13/2008,12324.76953,12893.98047,12269.80957,12849.36035,12849.36035,1215480000
4/6/2008,12612.58984,12733.66016,12302.05957,12325.41992,12325.41992,1104400000
3/30/2008,12215.91992,12696.29004,12176.11035,12609.41992,12609.41992,1167030000
3/23/2008,12361.96973,12622.07031,12196.87012,12216.40039,12216.40039,1181380000
3/16/2008,11946.4502,12461.53027,11756.59961,12361.32031,12361.32031,1581780000
3/9/2008,11893.04004,12303.34961,11731.59961,11951.08984,11951.08984,1689550000
3/2/2008,12264.36035,12349.66992,11819.69043,11893.69043,11893.69043,1502700000
2/24/2008,12380.76953,12756.55957,12223.57031,12266.38965,12266.38965,1443220000
2/17/2008,12349.58984,12505.25,12155.25977,12381.01953,12381.01953,1156050000
2/10/2008,12181.88965,12573.12988,12069.46973,12348.20996,12348.20996,1284960000
2/3/2008,12743.11035,12749.78027,12103.37012,12182.12988,12182.12988,1456550000
1/27/2008,12205.70996,12767.74023,12112.13965,12743.19043,12743.19043,1672670000
1/20/2008,12092.71973,12486.88965,11634.82031,12207.16992,12207.16992,1824580000
1/13/2008,12613.78027,12794.57031,12022.48047,12099.29981,12099.29981,2008240000
1/6/2008,12801.15039,12931.29004,12501.75977,12606.29981,12606.29981,1589510000
12/30/2007,13364.16016,13364.73047,12789.04004,12800.17969,12800.17969,911650000
12/23/2007,13450.73047,13563.48047,13298.15039,13365.87012,13365.87012,497510000
12/16/2007,13339.2002,13473.98047,13092,13450.65039,13450.65039,1319260000
12/9/2007,13623.54981,13780.11035,13321.63965,13339.84961,13339.84961,1275710000
12/2/2007,13368.21973,13668.09961,13237.58984,13625.58008,13625.58008,1050600000
11/25/2007,12979.99023,13466.99023,12724.08984,13371.71973,13371.71973,1385740000
11/18/2007,13176.29981,13176.29981,12786.03027,12980.87988,12980.87988,1018400000
11/11/2007,13039.16016,13367.16992,12975.11035,13176.79004,13176.79004,1415230000
11/4/2007,13592.58008,13669.71973,13017.29981,13042.74023,13042.74023,1545520000
10/28/2007,13807.34961,13962.53027,13446.01953,13595.09961,13595.09961,1290660000
10/21/2007,13521.62012,13811.25,13407.49023,13806.7002,13806.7002,1280860000
10/14/2007,14092.42969,14118.51953,13511.94043,13522.01953,13522.01953,1303720000
10/7/2007,14065.36035,14198.09961,13950.25,14093.08008,14093.08008,870270000
9/30/2007,13895.70996,14124.54004,13893.50977,14066.00977,14066.00977,880750000
9/23/2007,13821.57031,13924.80957,13696.30957,13895.62988,13895.62988,1016240000
9/16/2007,13441.9502,13877.16992,13362.37012,13820.19043,13820.19043,1344190000
9/9/2007,13116.38965,13469.26953,13021.92969,13442.51953,13442.51953,1031930000
9/2/2007,13358.38965,13494.05957,13082.16992,13113.37988,13113.37988,936010000
8/26/2007,13377.16016,13428.9502,13034.78027,13357.74023,13357.74023,1038510000
8/19/2007,13079.08008,13381.46973,12982.75,13378.87012,13378.87012,1025550000
8/12/2007,13239.54004,13338.15039,12517.94043,13079.08008,13079.08008,1638230000
8/5/2007,13183.12988,13695.82031,13057.86035,13239.54004,13239.54004,1574240000
